TY,TI,AU,T2,A2,AB,C3,DA,PY,DO,LA,PB,UR,DB,N1,KW,VL,SP,EP,SN,IS,J2,ST,C1,filter_1,filter_1_date,filter_1_observations
CONF,"LLMs Can Code, But Can They Do Designƒ",A. Guruli; M. Gadelia; W. Tichy,2026 5th International Informatics and Software Engineering Conference (IISEC),,"Large Language Models (LLMs) have demonstrated remarkable capabilities in generating code, making them valuable assistants for software engineers during implementation. However, it remains an open question whether LLMs can provide meaningful support before coding begins, in particular during design, when a system is structured into components. In this case study, we investigate the ability of state-of-the-art LLMs: ChatGPT, Claude, Gemini, and Microsoft Copilot, to generate designs from natural-language requirements. The designs are represented as UML class diagrams. We evaluate them in terms of correctness and completeness. Our results show that given well-specified, complete requirements, LLMs can produce correct and visually coherent UML diagrams. However, LLMs fall short when required functionality or data are not explicitly specified or novel solutions need to be generated. The results highlight the continued need for human creativity, expertise and judgment in software design. This study provides the first evaluation of LLMs for design tasks, offering insights into the opportunities and limitations of AI-assisted software engineering.",2026 5th International Informatics and Software Engineering Conference (IISEC),2026/02/05/6,2026,10.1109/IISEC69317.2026.11418469,,,,,,Codes; Creativity; design complexity; design generation; Encoding; evaluation; Informatics; Knowledge engineering; Large language models; LLM; Software; Software design; Software engineering; tacit knowledge; UML class diagrams; Unified modeling language,,277,282,,,,,,,,
JOUR,TriGen: A Semantic-Feedback Collaborative LLM Test Case Generation Model,P. Han; Y. Chen; J. Wang,IEEE Access,,"Regarding the problems of semantic understanding bias and uncontrollable generation in the generation of test cases driven by natural language requirements, this paper proposes TriGen - a controllable and traceable test case generation model for Chinese requirements. To break through the limitations of end-to-end opaque generation, TriGen is based on DeepSeek-7B and adopts a modular decoupling architecture, dividing the generation process into five stages: semantic enhancement, test type mapping, test procedure generation, step-by-step feedback optimization, and structured output. It realizes the explicit modeling of the generation logic and process tracing. Through efficient parameter fine-tuning of DeepSeek-7B using LoRA, the aim is to adapt to the multi-stage generation mechanism of TriGen, clarify the semantic goals and output formats of each stage, and achieve model specialization adaptation in low-resource environments. Further, a multi-dimensional closed-loop feedback mechanism is introduced to support local correction and quality iteration. To support research in Chinese scenarios, a high-quality Chinese software requirement dataset containing 2120 labeled samples is constructed, covering scenarios such as functional descriptions and interaction logic. Experimental results show that TriGen significantly outperforms the baseline method in both automatic evaluation and human evaluation. The semantic-level precision, recall, and F1 score reach 0.825, 0.819, and 0.801 respectively, with an hallucination rate controlled at 0.183, and the human rating is 0.94. It provides an interpretable, iterative, and deployable technical path for the automatic generation of test cases in Chinese requirements.",,2025///,2025,10.1109/ACCESS.2025.3635218,,,,,,Adaptation models; closed-loop feedback optimization; Collaboration; Iterative methods; large language model; model training; natural language requirement understanding; Natural languages; Optimization; Semantics; semantics extraction; Skeleton; Software testing automation; Testing; Trigeneration; Unified modeling language,13,209556,209574,2169-3536,,IEEE Access,,,,,
CONF,"Intelligent Agents for Requirements Engineering: Use, Feasibility and Evaluation",J. Dąbrowski; W. Cai; A. Bennaceur; B. Nuseibeh; F. Alrimawi,2025 IEEE 33rd International Requirements Engineering Conference (RE),,"Large language models (LLMs) have enabled new tools in requirements engineering (RE), often in the form of intelligent agents or virtual assistants. These tools can transform how software engineers perform RE tasks and interact with stakeholders. However, existing research primarily focuses on showcasing the capabilities of these tools rather than their design and evaluation in RE-specific contexts. This limits our understanding of their practical value and hinders broader adoption. To address this gap, we propose a reference model to guide the design, use, and evaluation of intelligent RE agents. Our work introduces new RE use cases, along with evaluation metrics for intelligent RE agents. We present a study design to support systematic development and share early findings demonstrating the feasibility of our approach. The use cases show how agents can add value for RE practitioners, while our synthesized catalogue supports tool evaluation. Finally, our analysis of commercial agents reveals that these tools already support certain aspects of the envisioned RE use cases.",2025 IEEE 33rd International Requirements Engineering Conference (RE),2025/09/01/5,2025,10.1109/RE63999.2025.00064,,,,,,Agents; AI4RE; Artificial Intelligence; Bots; BotSE; GenAI; Intelligent agents; Large Language Model; Large language models; Measurement; RE4AI; Requirements engineering; Requirements Engineering; Software; Stakeholders; Systematics; Transforms; Virtual assistants,,535,543,2332-6441,,,,,,,
CONF,Improving Multi-Domain Task-Oriented Dialogue System with Offline Reinforcement Learning,D. Prajapat; D. Toshniwal,2024 IEEE International Conference on Big Data (BigData),,"Task-oriented dialogue (TOD) system is designed to accomplish user-defined tasks through dialogues. The TOD system has progressed towards end-to-end modeling by leveraging pre-trained large language models. Fine-tuning the pre-trained language models using only supervised learning leads to the exposure bias and token loss problem and it deviates the models from completing the user’s task. To address these issues, we propose a TOD system that leverages a unified pre-trained language model, GPT-2, as a base model. It is optimized using supervised learning and offline reinforcement learning (RL). The issues in the TOD system are mitigated using a non-differentiable reward function. The reward is calculated using the weighted sum of the success rate and BLEU evaluation metrics. The success rate and BLEU metrics in reward calculation guide the language model for user task completion while ensuring a coherent and fluent response. Our model is acquired by fine-tuning a pre-trained model on the dialogue-session level which comprises user utterance, belief state, system act, and system response. Experimental results on MultiWOZ2.1 demonstrate that our model increases the inform rate by 1.60% and the success rate by 3.17% compared to the baseline.",2024 IEEE International Conference on Big Data (BigData),2024/12/15/18,2024,10.1109/BigData62323.2024.10825582,,,,,,Adaptation models; Big Data; Context modeling; Conversational AI; Data models; GPT-2; Large language models; Measurement; Natural response generation; Pre-trained language model; Reinforcement learning; Supervised learning; Training data; Unified modeling language,,2013,2018,2573-2978,,,,,,,
CONF,Does ChatGPT Help With Introductory Programming? An Experiment of Students Using ChatGPT in CS1,Y. Xue; H. Chen; G. R. Bai; R. Tairas; Y. Huang,2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),,"Generative AI, notably ChatGPT, has garnered attention in computer science education. This paper presents a controlled experiment that explores ChatGPT's role in CS1 in a classroom setting. Specifically, we aim to investigate the impact of ChatGPT on student learning outcomes and their behaviors when working on programming assignments. Participants were tasked with creating a UML diagram and subsequently implementing its design through programming, followed by a closed-book post-evaluation and a post-survey. All the participants were required to screen-record the whole process. In total, 56 participants were recruited, with 48 successful screen recordings. Participants in the Experimental Group can access ChatGPT 3.5 and other online resources, such as Google and Stack Overflow when creating the UML diagram and programming; however, participants in the Control Group can access all online resources except for ChatGPT (i.e., the only design variable is the access to ChatGPT). Finally, we measured and analyzed participants' learning outcomes through their UML diagram, programming, and post-evaluation scores. We also analyzed the time participants took to complete the tasks and their interactions with ChatGPT and other resources from the screen recordings. After finishing the tasks, student participants also provided their perceptions of using ChatGPT in CS1 through a post-survey. With rigorous quantitative and qualitative analysis, we found that (1) using ChatGPT does not present a significant impact on students' learning performance in the CS1 assignment-style tasks; (2) once using ChatGPT, students' tendency to explore other traditional educational resources is largely reduced (though available) and they tend to rely solely on ChatGPT, and this reliance on ChatGPT did not guarantee enhanced learning performance; (3) the majority of students hold neutral views on ChatGPT's role in CS1 programming but most of them raised concerns about its potential ethical issues and inconsistent performance across different tasks. We hope this study can help educators and students better understand the impact of ChatGPT in CS1 and inspire future work to provide proper guidelines for using ChatGPT in introductory programming classes.",2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),2024/04/14/20,2024,10.1145/3639474.3640076,,,,,,Chatbots; ChatGPT; Computer science education; CS education; CS1; Ethics; Generative AI; OOP; Recording; Training; Unified modeling language,,331,341,2832-7578,,,,,,,
CONF,Towards Using LLMs in the Reverse Engineering of Software Systems to Object Constraint Language,H. A. Siala; K. Lano,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",,"Using reverse engineering to extract semantic representations from software systems is beneficial for the understanding of these systems, and can facilitate their maintenance and evolution. In particular, extracting semantically-precise specifications from systems is useful for re-engineering of systems to functionally-equivalent versions in different programming languages. Large language models (LLMs) are a type of machine learning (ML) technique that has been utilized in various domains, including software engineering and program translation. Yet, abstracting precise Object Constraint Language (OCL) specifications from source code using LLMs has not gained attention in reverse engineering approaches. In this paper, we present a new reverse engineering approach, named LLM4Models, to abstract OCL specifications from Java and Python programs, using LLMs.","2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2025/03/04/7,2025,10.1109/SANER64311.2025.00096,,,,,,Java; Java programs; Large language models; Large Language Models (LLMs); Legacy systems; Machine learning; Machine Learning; Object Constraint Language (OCL); Python; Python programs; Reverse engineering; Semantics; Software engineering; Software systems; Source coding; Translation,,1,6,2640-7574,,,,,,,
CONF,Development of Business Diagram Creation Using AR Technology and Physical Blocks,K. Mitsuhashi; I. Sekita; H. Takeshita,2026 IEEE 2nd International Conference on Consumer Technology (ICCT-Pacific),,"The widespread use of smartphones and generative AI has led to a shortage of personnel capable of performing advanced PC operations, such as specialized diagramming, required in a DX (Digital Transformation) society. Despite this, there is a strong demand for creating business diagrams, such as organizational charts. This research proposes and develops a business diagramming tool utilizing Augmented Reality (AR) technology and physical blocks and investigates its effectiveness in terms of creation time and user experience. The tool's operation is designed to be more intuitive and easier than conventional PC-based methods. By arranging these physical blocks within the camera's view, users can create SWOT analysis diagrams (four-quadrant diagrams), organizational charts, and Gantt charts. The tool's effectiveness is subsequently validated through sample creation tasks while referencing existing diagrams. In this result, AR-based operation enables faster diagram creation compared to PC-based methods, and the tool is more intuitive and easier to understand.",2026 IEEE 2nd International Conference on Consumer Technology (ICCT-Pacific),2026/03/28/30,2026,10.1109/ICCT-Pacific69083.2026.11519008,,,,,,Argon; Business; business diagram; Displays; Gantt charts; Libraries; NyARToolKit for Unity; organizational charts; Printing; SWOT analysis diagrams; Technology; Timing; Tools; Unified modeling language,,298,301,,,,,,,,
CONF,PathOCl: Path-Based Prompt Augmentation for OCL Generation with GPT-4,S. Abukhalaf; M. Hamdaqa; F. Khomh,2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering (Forge) Conference Acronym:,,"The rapid progress of AI-powered programming assistants, such as GitHub Copilot, has facilitated the development of software applications. These assistants rely on large language models (LLMs), which are foundation models (FMs) that support a wide range of tasks related to understanding and generating language. LLMs have demonstrated their ability to express UML model specifications using formal languages like the Object Constraint Language (OCL). However, the context size of the prompt is limited by the number of tokens an LLM can process. This limitation becomes significant as the size of UML class models increases. In this study, we intro-duce PathOCL, a novel path-based prompt augmentation technique designed to facilitate OCL generation. PathOCL addresses the limi-tations of LLMs, specifically their token processing limit and the challenges posed by large UML class models. PathOCL is based on the concept of chunking, which selectively augments the prompts with a subset of UML classes relevant to the English specification. Our findings demonstrate that PathOCL, compared to augmenting the complete UML class model (UML-Augmentation), generates a higher number of valid and correct OCL constraints using the GPT-4 model. Moreover, the average prompt size crafted using PathOCL significantly decreases when scaling the size of the UML class models.",2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering (Forge) Conference Acronym:,2024/04/14/14,2024,10.1145/3650105.3652290,,,,,,Adaptation models; Foundation Model (FM); Frequency modulation; Generative Pre-Trained Trans-former (GPT); Large Language Model (LLM); Object Constraint Language (OCL); Prompt Engineering; Simple Path; Software; Software reliability; Task analysis; Terminology; Unified modeling language,,108,118,,,,,,,,
CONF,A Real Time Self-Generating Control for AI Platforms,M. Trifan; B. Ionescu; D. Ionescu,2024 IEEE 18th International Symposium on Applied Computational Intelligence and Informatics (SACI),,"Recent advancements in hardware and software implementations of Artificial Intelligence have sparked a multitude of revolutionary applications in the theory and implementation of AI algorithms and tools. Significant new developments have been driven by the application of the Transformer concept in the fields of Large Language Models (LLMs), Reinforcement Learning, and other areas. This in turn led to capturing long-range dependencies and contextual information based on data. More recently, strong positions in the AI research community, around the proper implementations and usage of certain Machine Learning (ML) applications, have been thoroughly debated. However, it is very much known, that ChatGPT and other like platforms, such as Llama, or large GNNs, suffer from a series of black-box drawbacks out of which the “factual accuracy”, “halucinations”, “overgeneralization” and others open loop LLMs were reported in the literature. This paper presents an Autonomic Computing (AC) closed-loop architecture that manages and gathers data from user prompts via a DOMifire module. The DOMifire acts as the sensor element of the LLM AC system, referred to as the Plant. This data is logically compared by an Expert System (ES), which serves as the core of the Autonomic Manager in the AC loop of the LLM, with the data obtained from the LLM's output―in this case, the responses generated by ChatGPT. After a reduced number of iterations, the results are evaluated using a Mean Absolute Scaled Error (MASE) metric. In the context of a time series, this process results in a stable set of sentences or rules produced by the Knowledge Base module. An example, in which the “Time Series” of AutoGluOn illustrates the AC - AI interactions for a complementary contributions to a more robust AI platform. An example of the interaction AC-AI is given in the Conclusion section of this paper.",2024 IEEE 18th International Symposium on Applied Computational Intelligence and Informatics (SACI),2024/05/23/25,2024,10.1109/SACI60582.2024.10619873,,,,,,Architecture; AutoGluon; Automation; AutoML; Autonomic Computing; Chatbots; ChatGPT; Computational modeling; Computer architecture; Large Language Models; Machine Learning; PlantUML; Time series analysis; Training,,000599,000604,2765-818X,,,,,,,
CONF,Improving Gemini's Ability to Generate Syntactically Correct Mermaid Code,P. Sarma; D. S. Taylor; M. Moh; T. -S. Moh,SoutheastCon 2026,,"Google Gemini is a widely used large language model among users involved in computer science, including students, educators, and software developers. An important capability of such models is the generation of visual diagrams, which can help users understand complex computer science concepts such as process scheduling or network protocols. However, Gemini frequently produces syntactically invalid Mermaid code, preventing diagrams from rendering correctly and reducing the usefulness of its responses. This paper presents a lightweight framework designed to improve the syntactic correctness of Mermaid code generated by Gemini. The proposed approach combines retrieval-based guidance, prompt refinement, and iterative correction within an automated wrapper that detects, repairs, and validates invalid diagram code. Experimental results show that the prototype improves the reliability and effectiveness of Gemini's diagram-generation capabilities, increasing its usefulness as a support tool for computer science education and development.",SoutheastCon 2026,2026/03/20/Feb.-15,2026,10.1109/SoutheastCon63549.2026.11476269,,,,,,Circuits; Communication systems; Communications technology; Computer networks; Current mirrors; diagram generation; Feedback; HTTP; Internet; large language models; Mermaid; prompt engineering; Protocols; retrieval-augmented generation; Storage area networks,,1,6,1558-058X,,,,,,,
CONF,Easing Adoption of Model Based System Engineering With Application of Generative AI,A. Patel; Y. Maheshwaran; P. Santhya,"2024 IEEE Space, Aerospace and Defence Conference (SPACE)",,"Though Model based System Engineering (MBSE) for complex products has manifold advantages, there is a need to find techniques to facilitate its adoption. Here, we discuss ML technique based on Generative AI particularly Natural Language Processing (NLP) and propose its integration with existing MBSE tools. The conceptual framework of generating requirements from unstructured documents using NLP is presented. The same technique to be utilized for generating Systems Modeling Language (SysML) model entities by training NLP model with labelled data. Once the model is trained and integrated with SysML tool, it eases applying MBSE for multi-domain multidisciplinary complex systems.","2024 IEEE Space, Aerospace and Defence Conference (SPACE)",2024/07/22/23,2024,10.1109/SPACE63117.2024.10667868,,,,,,Complex systems; Data models; DBSE; Generative AI; Manifolds; MBSE; Natural language processing; NLP; SysML; System development life-cycle (SDLC); Systems Modeling Language; Training,,871,874,,,,,,,,
CONF,Transforming Software Architecture Design With Intelligent Assistants-A Comparative Analysis,R. Ramachandran,SoutheastCon 2025,,"As artificial intelligence tools such as GitHub Copilot, Chat Generative Pre-Trained Transformer (ChatGPT), or Black Box Artificial Intelligence (BlackBoxAI) become more embedded in software development workflows, they are reshaping how architects approach modern software design. While enterprises are increasingly leveraging Generative Artificial Intelligence (GenAI) tools to enhance developer productivity, limited research has been conducted on their impact on software architects. Traditionally, architects utilize various tools to create architectural blueprints, including Unified Modelling Language (UML) diagrams, class diagrams, sequence diagrams, use case diagrams, and state diagrams. Many of these diagrams follow repetitive structures that can be automated with well-defined contexts. This paper examines the role of three AI tools in assisting architects during the design phase, assessing how closely the generated outputs adhere to established architectural principles. By analyzing deviations, the study explores how refined prompts and additional context can improve accuracy. Research also includes cross tool comparison. Ultimately, this research aims to evaluate the potential of AI assistant tools to enhance productivity, ensure design consistency, and support architectural decision-making, while providing best practices for integrating AI into modern software architecture.",SoutheastCon 2025,2025/03/22/30,2025,10.1109/SoutheastCon56624.2025.10971683,,,,,,Artificial intelligence; BlackboxAI; Chatbots; ChatGPT; Gen AI; Generative AI; Github Copilot; Productivity; Security; Software architecture; Software Architecture; Software design; Software development management; Transformers; Unified modeling language,,1446,1454,1558-058X,,,,,,,
CONF,Interlinking User Stories and GUI Prototyping: A Semi-Automatic LLM-Based Approach,K. Kolthoff; F. Kretzer; C. Bartelt; A. Maedche; S. P. Ponzetto,2024 IEEE 32nd International Requirements Engineering Conference (RE),,"Interactive systems are omnipresent today and the need to create graphical user interfaces (GUIs) is just as ubiq-uitous. For the elicitation and validation of requirements, GUI prototyping is a well-known and effective technique, typically employed after gathering initial user requirements represented in natural language (NL) (e.g., in the form of user stories). Un-fortunately, G UI prototyping often requires extensive resources, resulting in a costly and time-consuming process. Despite various easy-to-use prototyping tools in practice, there is often a lack of adequate resources for developing G UI prototypes based on given user requirements. In this work, we present a novel Large Language Model (LLM)-based approach providing assistance for validating the implementation of functional NL- based require-ments in a GUI prototype embedded in a prototyping tool. In particular, our approach aims to detect functional user stories that are not implemented in a G UI prototype and provides recommendations for suitable GUI components directly imple-menting the requirements. We collected requirements for existing GUIs in the form of user stories and evaluated our proposed validation and recommendation approach with this dataset. The obtained results are promising for user story validation and we demonstrate feasibility for the GUI component recommendations.",2024 IEEE 32nd International Requirements Engineering Conference (RE),2024/06/24/28,2024,10.1109/RE59067.2024.00045,,,,,,Assistance; Graphical user interfaces; GUI Prototyping; Interactive systems; Large language models; Natural languages; Prototypes; Requirements Elicitation; Requirements engineering; Requirements Validation; User Stories,,380,388,2332-6441,,,,,,,
CONF,Poster: LLM-Based Extraction of Fluid Biomarkers for Alzheimer’s Disease Knowledge Base,J. Sammartino; E. Chianumba; H. Liu,"2025 IEEE/ACM Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)",,"Alzheimer’s Disease (AD) diagnosis relies heavily on the identification and interpretation of various biomarkers. This research presents a novel framework for creating a comprehensive biomarker knowledge database for AD using Large Language Models. Our approach integrates advanced Natural Language Processing techniques with multiple state-of-the-art LLMs to extract, validate, and categorize biomarker information from clinical trials and medical literature. We demonstrate the effectiveness of our methodology through preliminary results in Named-Entity-Recognition. The pro-posed system aims to standardize biomarker terminology, establish relationship networks between biomarkers and clinical outcomes, and provide healthcare professionals with an accessible query-based interface to access AD biomarker research.","2025 IEEE/ACM Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)",2025/06/24/26,2025,,,,,,,Alzheimer's disease; alzheimers disease; biomarkers; Biomarkers; Databases; Fluids; Knowledge based systems; large language models; Large language models; Medical diagnostic imaging; Medical services; natural language processing; Natural language processing; Terminology,,480,481,2832-2975,,,,,,,
CONF,A Multimodal Knowledge Graph Construction and Agent Planning Method for Intelligent Diagnostics in Wind Power,R. Bie; W. Wei; Y. Li,"2025 5th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)",,"To enhance the intelligent processing capability of knowledge in the wind power domain, this paper proposes a framework for constructing and applying a wind power knowledge graph based on a Multimodal Large Language Model (MLLM). This framework integrates multimodal data such as text and images, utilizes the MLLM to simultaneously extract image content and structural information, and introduces a Chain-of-Thought guided reasoning mechanism. Through mod-ules including sliding window overlapping chunking, multi-step question generation, and step recognition with quality verification, a high-quality wind power knowledge graph is constructed. Furthermore, the graph is applied to query decomposition and agent planning, extending its applications to scenarios such as fault diagnosis and intelligent maintenance. Experimental results demonstrate that the proposed framework significantly outper-forms both pure Retrieval-Augmented Generation and pure knowledge graph methods in terms of the comprehensiveness, diversity, and empowerment of knowledge processing.","2025 5th International Conference on Artificial Intelligence, Robotics, and Communication (ICAIRC)",2025/11/07/9,2025,10.1109/ICAIRC68035.2025.11385133,,,,,,Cognition; CoT; Data mining; Graph; Knowledge graphs; Large language models; LLM; Planning; Question generation; RAG; Retrieval augmented generation; Robots; Wind Power; Wind power generation; Windows,,313,316,,,,,,,,
CONF,Using Large Language Models for System Modeling: Current State and Future Implications,C. Fresemann; C. Ellsel; C. -P. Grunenwald; R. Stark,2025 IEEE International Symposium on Systems Engineering (ISSE),,"Model-Based Systems Engineering (MBSE) supports the efficient development of complex technical systems but requires significant expertise and manual effort. This paper investigates the current state of applying Large Language Models (LLMs) to support system modeling tasks, particularly in dealing with semi-formal languages such as the System Modeling Language (SysML). A structured literature review identifies twenty publications where LLMs are used for system modeling tasks, including the description of the technical set-up, evaluation of the solution and current existing gaps and limitations. Based on the findings, the paper proposes a modular prompting framework for translating SysML v1 to v2 structure diagrams, addressing key syntactic and semantic challenges. The results indicate potential for increased efficiency but highlight the need for evaluation metrics allowing for estimable LLM outputs. Finally, the paper outlines further research directions addressing sufficient and relevant context information as well as evaluation approaches.",2025 IEEE International Symposium on Systems Engineering (ISSE),2025/10/28/30,2025,10.1109/ISSE65546.2025.11369978,,,,,,evaluation; large language models; Large language models; Manuals; MBSE; MCP; Measurement; Semantics; Syntactics; SysML; Systematic literature review; Systems modeling; Systems Modeling Language; transformation; Translation,,1,8,2687-8828,,,,,,,
CONF,Assisting Stakeholders in Class Diagram Interpretation with LLMs: a Work in Progress,C. Mannari; T. Turchi; M. Bacco; A. Malizia,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),,"Diagrams can be valuable tools in requirements engineering to establish a shared understanding between software engineers and stakeholders. However, interacting with these visual representations can be challenging for some stakeholders who prefer textual descriptions and may need support to interpret notation elements and understand the diagram structure and meaning. To address this need, we explore the use of Large Language Models to effectively assist stakeholders interacting with diagrams by providing automatic textual explanations and contextual guidance. Specifically, we aim to design and evaluate with stakeholders an interactive layer (integrated into an end-user-oriented modelling tool) that provides automatic diagram explanations in natural language. As a first step toward our research objective, this paper investigates the capability of GPT4 to generate appropriate textual descriptions from domain models. We use a test data set consisting of UML class diagrams in various formats, belonging to the domain of digital agriculture, and develop a set of prompts to generate the interactive explanatory layer. We conduct a technical evaluation of the output, focusing on correctness, completeness, and understandability. The results provide valuable insights to inform future design and research, while also revealing potential challenges in real-world applications.",2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),2025/09/01/5,2025,10.1109/REW66121.2025.00045,,,,,,Conferences; Focusing; Large language models; Natural languages; Requirements engineering; Smart agriculture; Software; Stakeholders; Unified modeling language; Visualization,,298,303,2770-6834,,,,,,,
CONF,A Knowledge Driven Method for Data Synthesis and Evaluation Using Large Language Models,X. Jiao; S. Luo; L. Yang,"2026 5th International Conference on Electronic Information Engineering, Big Data and Computer Technology (EIBDCT)",,"We present a knowledge-driven framework that enhances large language models (LLMs) through dynamic integration of knowledge graph (KG) structures. Our approach addresses the challenge of balancing domain-specific knowledge with linguistic flexibility by injecting KG-derived augmentation structures into LLM prompts. The framework features a multi-dimensional evaluation system assessing both direct aspects and indirect utility of generated texts. Evaluations using the Unified Medical Language System (UMLS) demonstrate our method's effectiveness in producing human-like, factually accurate content while significantly expanding knowledge coverage and enhancing specialist capabilities without degrading general performance. This work provides a scalable solution for reliable synthetic data generation in specialized domains.","2026 5th International Conference on Electronic Information Engineering, Big Data and Computer Technology (EIBDCT)",2026/04/24/26,2026,10.1109/EIBDCT69742.2026.11566951,,,,,,Conferences; Data evaluation; Data synthesis; Flexible AC transmission systems; Knowledge Graphs; Labeling; Large language models; Large Language Models; Measurement; Modeling; Natural Language Processing; Printing; Surveys; Synthetic data; Tuning,,262,267,,,,,,,,
CONF,Enhancing Software Design and Developer Experience Via LLMs,S. Sun,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),,"This research explores the transformative potential of generative AI in software development. Generative AI is revolutionizing the field by offering capabilities to automatically generate, refactor, and test code. Through the use of action research, new methods and tools based on generative AI models are studied and developed. The initial focus is on the models’ ability to comprehend high-level design concepts. Subsequently, the research moves into the augmented generation of software artifacts. Finally, organization-specific or task-specific methods are introduced to enhance software developers’ productivity and experience.CCS CONCEPTS• Software and its engineering → Software development process management; Software development methods;",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),2024/11/27/Oct.-1,2024,,,,,,,CI/CD; Codes; Generative AI; LLM; Log Analysis; Productivity; Software; Software design; Software development management; Software engineering,,2498,2501,2643-1572,,,,,,,
CONF,Empowering Software Architects with Artificial Intelligence: Analyzing GitHub Copilot's Role in Modern Architecture Design,R. Ramachandran,2025 7th International Conference on Software Engineering and Computer Science (CSECS),,"As artificial intelligence tools like GitHub Copilot become more integrated into software development workflows, they are transforming how architects approach modern software design. Although enterprises are exploring the potential of GenAl tools to improve developer productivity, limited research exists on their impact on the role of software architects. Traditionally, architects use various tools to create architectural blueprints, including Unified Modeling Language (UML) diagrams, class diagrams, sequence diagrams, use case diagrams, component diagrams, deployment diagrams, activity diagrams, and state diagrams, to name a few. Many of these diagrams follow repetitive patterns that could be automated with well-defined contexts. This paper examines Copilot's role in supporting architects through various stages of architectural development, evaluating how closely Copilot-generated outputs align with established architectural principles. By analyzing deviations, the study discusses how refined prompts can yield more accurate results. This research ultimately seeks to determine Copilot's potential to enhance productivity, ensure consistency, and support architectural decision-making, while offering insights into best practices for integrating AI into modern software architecture.",2025 7th International Conference on Software Engineering and Computer Science (CSECS),2025/03/21/23,2025,10.1109/CSECS64665.2025.11009821,,,,,,Artificial intelligence; Generative AI (GenAI); Github Copilot; Natural language processing; Productivity; Prompt engineering; Security; Software; Software architecture; Software Architecture; Software design; Software development management; Unified modeling language,,1,9,,,,,,,,
JOUR,"Integrating LLMs and Knowledge Graphs for Medical AI: Advances, Challenges, and Future Directions",L. Murali; G. Gopakumar; D. M. Viswanathan; R. Raman; P. Nedungadi,IEEE Journal of Biomedical and Health Informatics,,"This review synthesizes how integrating large language models (LLMs) with knowledge graphs (KGs) advances medical AI across methods, applications, and evaluation. While LLMs excel at natural language understanding and contextual reasoning, KGs provide structured factual knowledge, ensuring reliability in critical domains like healthcare AI. This review explores recent advances, emphasizing how LLM-KG synergy enhances knowledge extraction, clinical decision support, and explainability in medical applications. We analyze integration methodologies across three key frameworks: (a) KG-enhanced LLMs, where KGs refine reasoning during pre-training and inference; (b) LLM-augmented KGs, where LLMs improve KG construction, reasoning, and query resolution; and (c) Synergistic LLM-KG systems, which enable bidirectional knowledge exchange for more robust AI-driven decision-making. While these models offer substantial improvements in medical diagnostics, personalized treatment, and automated knowledge discovery, key challenges remain. Issues such as data heterogeneity, reasoning transparency, computational scalability, and ethical considerations surrounding patient data must be addressed to enable real-world clinical adoption. This review outlines future directions, including cross-domain knowledge integration, neurosymbolic AI frameworks, causal reasoning for explainable predictions, and multi-agent ensemble models for adaptive decision-making. We emphasize that scalability, real-time KG updates, and privacy-preserving mechanisms are vital for responsible, high-impact AI deployment in medicine.",,2026/05//,2026,10.1109/JBHI.2025.3622058,,,,,,Accuracy; AI in Healthcare; Clinical Decision Support; Cognition; Electronic medical records; Knowledge Graph; Knowledge graphs; Large Language Model; Large language models; Medical diagnostic imaging; Medical services; Ontologies; Reliability; Scalability,30,3833,3848,2168-2208,5,IEEE Journal of Biomedical and Health Informatics,,,,,
